[12/27/14 15:36:06] ../run.sh 0.015 0.3 1 --freqweight 1000 --angle-limit 0.3 --segment-scale-mult 1 --adopt 0 --dirbias 0 --cand-anglediv 1 --angle-gens 60,90 --cost-fn spatsqrt --small-thresh 1 --small-thresh-limit smallThreshDiv 2 
[12/27/14 15:37:34] ../run.sh 0.015 0.3 10 --freqweight 1000 --angle-limit 0.3 --segment-scale-mult 1 --adopt 0 --dirbias 0 --cand-anglediv 1 --angle-gens 60,90 --cost-fn spatsqrt --small-thresh 1 --small-thresh-limit smallThreshDiv 2 
[12/27/14 15:38:15] ../run.sh 0.015 0.3 10 --freqweight 1000 --angle-limit 0.3 --segment-scale-mult 1 --adopt 0 --dirbias 0 --cand-anglediv 1 --angle-gens 60,90 --cost-fn spatsqrt --small-thresh 1 --small-thresh-limit smallThreshDiv 2 
[12/27/14 15:38:22] ../run.sh 0.015 0.3 100 --freqweight 1000 --angle-limit 0.3 --segment-scale-mult 1 --adopt 0 --dirbias 0 --cand-anglediv 1 --angle-gens 60,90 --cost-fn spatsqrt --small-thresh 1 --small-thresh-limit smallThreshDiv 2 
[12/27/14 15:38:56] ../run.sh 0.015 0.3 50 --freqweight 1000 --angle-limit 0.3 --segment-scale-mult 1 --adopt 0 --dirbias 0 --cand-anglediv 1 --angle-gens 60,90 --cost-fn spatsqrt --small-thresh 1 --small-thresh-limit smallThreshDiv 2 
[12/27/14 15:39:55] ../run.sh 0.015 0.3 25 --freqweight 1000 --angle-limit 0.3 --segment-scale-mult 1 --adopt 0 --dirbias 0 --cand-anglediv 1 --angle-gens 60,90 --cost-fn spatsqrt --small-thresh 1 --small-thresh-limit smallThreshDiv 2 
[12/27/14 15:40:54] ../run.sh 0.015 0.3 25 --freqweight 10000 --angle-limit 0.3 --segment-scale-mult 1 --adopt 0 --dirbias 0 --cand-anglediv 1 --angle-gens 60,90 --cost-fn spatsqrt --small-thresh 1 --small-thresh-limit smallThreshDiv 2 
[12/27/14 16:29:32] ../run.sh 0.015 0.3 60 --freqweight 10000 --angle-limit 0.3 --segment-scale-mult 1 --adopt 0 --dirbias 0 --cand-anglediv 1 --angle-gens 60,90 --cost-fn spatsqrt --small-thresh 1 --small-thresh-limit smallThreshDiv 2 
[12/27/14 16:31:37] ../run.sh 0.015 0.3 60 --freqweight 1000 --angle-limit 0.3 --segment-scale-mult 1 --adopt 0 --dirbias 0 --cand-anglediv 1 --angle-gens 60,90 --cost-fn spatsqrt --small-thresh 1 --small-thresh-limit smallThreshDiv 2 
[12/27/14 16:32:21] ../run.sh 0.015 0.3 75 --freqweight 1000 --angle-limit 0.3 --segment-scale-mult 1 --adopt 0 --dirbias 0 --cand-anglediv 1 --angle-gens 60,90 --cost-fn spatsqrt --small-thresh 1 --small-thresh-limit smallThreshDiv 2 
