1576.72,874.104,684.617,18
3436.87,1570.2,1834.67,32
12097.8,3113.02,8917.82,67
34695.4,5537.48,29022.9,135
107608,7197.75,100209,201
184171,7905.43,176024,242
203942,11391,192295,256
